            |   omega    |  epsilon   |   lambda   |     mu     |     A      |     T      |norm_lambda |  norm_mu   |   norm_A   |   norm_T   |
   omega    |  1.000000  |  0.170209  | -0.766373  | -0.020399  | -0.084152  | -0.414042  | -0.957029  | -0.653947  |  0.892530  |  0.958257  |
  epsilon   |  0.170209  |  1.000000  |  0.099626  | -0.405128  | -0.969084  |  0.315748  | -0.145169  | -0.346026  |  0.342410  |  0.308487  |
   lambda   | -0.766373  |  0.099626  |  1.000000  | -0.498096  | -0.209256  | -0.049118  |  0.903246  |  0.096932  | -0.855822  | -0.832652  |
     mu     | -0.020399  | -0.405128  | -0.498096  |  1.000000  |  0.507971  |  0.346586  | -0.171741  |  0.739664  |  0.195848  |  0.055635  |
     A      | -0.084152  | -0.969084  | -0.209256  |  0.507971  |  1.000000  | -0.343997  |  0.037821  |  0.355108  | -0.247683  | -0.218856  |
     T      | -0.414042  |  0.315748  | -0.049118  |  0.346586  | -0.343997  |  1.000000  |  0.204374  |  0.614466  |  0.019836  | -0.150454  |
norm_lambda | -0.957029  | -0.145169  |  0.903246  | -0.171741  |  0.037821  |  0.204374  |  1.000000  |  0.470077  | -0.940653  | -0.974547  |
  norm_mu   | -0.653947  | -0.346026  |  0.096932  |  0.739664  |  0.355108  |  0.614466  |  0.470077  |  1.000000  | -0.397742  | -0.555935  |
   norm_A   |  0.892530  |  0.342410  | -0.855822  |  0.195848  | -0.247683  |  0.019836  | -0.940653  | -0.397742  |  1.000000  |  0.975470  |
   norm_T   |  0.958257  |  0.308487  | -0.832652  |  0.055635  | -0.218856  | -0.150454  | -0.974547  | -0.555935  |  0.975470  |  1.000000  |
