            |   omega    |  epsilon   |   lambda   |     mu     |     A      |     T      |norm_lambda |  norm_mu   |   norm_A   |   norm_T   |
   omega    |  1.000000  |  0.298614  | -0.711282  | -0.087552  | -0.288448  | -0.325019  | -0.981278  | -0.572512  |  0.923476  |  0.978358  |
  epsilon   |  0.298614  |  1.000000  |  0.298352  | -0.375865  | -0.975303  |  0.312385  | -0.267343  | -0.398417  |  0.347560  |  0.387492  |
   lambda   | -0.711282  |  0.298352  |  1.000000  | -0.489881  | -0.317235  |  0.123029  |  0.779495  | -0.019230  | -0.764755  | -0.715036  |
     mu     | -0.087552  | -0.375865  | -0.489881  |  1.000000  |  0.401241  |  0.478567  |  0.002488  |  0.846907  |  0.210014  | -0.004838  |
     A      | -0.288448  | -0.975303  | -0.317235  |  0.401241  |  1.000000  | -0.342276  |  0.236221  |  0.407147  | -0.338518  | -0.378033  |
     T      | -0.325019  |  0.312385  |  0.123029  |  0.478567  | -0.342276  |  1.000000  |  0.252160  |  0.610612  |  0.021267  | -0.134144  |
norm_lambda | -0.981278  | -0.267343  |  0.779495  |  0.002488  |  0.236221  |  0.252160  |  1.000000  |  0.498108  | -0.933479  | -0.979317  |
  norm_mu   | -0.572512  | -0.398417  | -0.019230  |  0.846907  |  0.407147  |  0.610612  |  0.498108  |  1.000000  | -0.289635  | -0.491721  |
   norm_A   |  0.923476  |  0.347560  | -0.764755  |  0.210014  | -0.338518  |  0.021267  | -0.933479  | -0.289635  |  1.000000  |  0.971007  |
   norm_T   |  0.978358  |  0.387492  | -0.715036  | -0.004838  | -0.378033  | -0.134144  | -0.979317  | -0.491721  |  0.971007  |  1.000000  |
