            |   omega    |  epsilon   |   lambda   |     mu     |     A      |     T      |norm_lambda |  norm_mu   |   norm_A   |   norm_T   |
   omega    |  1.000000  | -0.528335  | -0.844000  |  0.005059  |  0.528105  | -0.503977  | -0.941952  | -0.567210  |  0.858683  |  0.923127  |
  epsilon   | -0.528335  |  1.000000  |  0.699742  | -0.403819  | -0.981249  |  0.348126  |  0.612202  | -0.050503  | -0.397124  | -0.421004  |
   lambda   | -0.844000  |  0.699742  |  1.000000  | -0.309970  | -0.672431  |  0.077361  |  0.969606  |  0.169288  | -0.914189  | -0.918887  |
     mu     |  0.005059  | -0.403819  | -0.309970  |  1.000000  |  0.452400  |  0.362718  | -0.180159  |  0.797209  |  0.289838  |  0.153449  |
     A      |  0.528105  | -0.981249  | -0.672431  |  0.452400  |  1.000000  | -0.367689  | -0.596523  |  0.074164  |  0.394920  |  0.413884  |
     T      | -0.503977  |  0.348126  |  0.077361  |  0.362718  | -0.367689  |  1.000000  |  0.234207  |  0.672047  | -0.004165  | -0.140091  |
norm_lambda | -0.941952  |  0.612202  |  0.969606  | -0.180159  | -0.596523  |  0.234207  |  1.000000  |  0.351224  | -0.939979  | -0.968670  |
  norm_mu   | -0.567210  | -0.050503  |  0.169288  |  0.797209  |  0.074164  |  0.672047  |  0.351224  |  1.000000  | -0.221799  | -0.374209  |
   norm_A   |  0.858683  | -0.397124  | -0.914189  |  0.289838  |  0.394920  | -0.004165  | -0.939979  | -0.221799  |  1.000000  |  0.984262  |
   norm_T   |  0.923127  | -0.421004  | -0.918887  |  0.153449  |  0.413884  | -0.140091  | -0.968670  | -0.374209  |  0.984262  |  1.000000  |
