            |   omega    |  epsilon   |   lambda   |     mu     |     A      |     T      |norm_lambda |  norm_mu   |   norm_A   |   norm_T   |
   omega    |  1.000000  |  0.005382  | -0.683532  |  0.137572  |  0.008273  | -0.449383  | -0.955913  | -0.301056  |  0.890708  |  0.953471  |
  epsilon   |  0.005382  |  1.000000  |  0.579069  | -0.403541  | -0.980131  |  0.315930  |  0.099976  | -0.340420  |  0.085740  |  0.118608  |
   lambda   | -0.683532  |  0.579069  |  1.000000  | -0.653890  | -0.572023  |  0.149862  |  0.822675  | -0.313600  | -0.734494  | -0.699879  |
     mu     |  0.137572  | -0.403541  | -0.653890  |  1.000000  |  0.423171  |  0.444651  | -0.364321  |  0.889394  |  0.458394  |  0.277720  |
     A      |  0.008273  | -0.980131  | -0.572023  |  0.423171  |  1.000000  | -0.349598  | -0.124933  |  0.337905  | -0.081097  | -0.110814  |
     T      | -0.449383  |  0.315930  |  0.149862  |  0.444651  | -0.349598  |  1.000000  |  0.273519  |  0.659800  | -0.023788  | -0.167796  |
norm_lambda | -0.955913  |  0.099976  |  0.822675  | -0.364321  | -0.124933  |  0.273519  |  1.000000  |  0.068472  | -0.932754  | -0.964024  |
  norm_mu   | -0.301056  | -0.340420  | -0.313600  |  0.889394  |  0.337905  |  0.659800  |  0.068472  |  1.000000  |  0.056441  | -0.142463  |
   norm_A   |  0.890708  |  0.085740  | -0.734494  |  0.458394  | -0.081097  | -0.023788  | -0.932754  |  0.056441  |  1.000000  |  0.973101  |
   norm_T   |  0.953471  |  0.118608  | -0.699879  |  0.277720  | -0.110814  | -0.167796  | -0.964024  | -0.142463  |  0.973101  |  1.000000  |
